"","ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","is_station","is_district","is_postcode","predict","profitMargin","buy","actualProfit"
"29",11034,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N17","C",68,4,2.4,2.4,201,201,"Average","rental (social)",51.609117,-0.08225,195,22,3,"white hart lane","Thames Water",37700,"Haringey","light_rail",0,0,1,0.7214454,152000,FALSE,FALSE,FALSE,295438.059749967,0.943671445723469,1,0.943671445723469
"30",10578,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"W5","F",203,9,13,4.9,375,136,"Average","owner-occupied",51.514333,-0.312551,69,34,3,"west ealing","Thames Water",64800,"Ealing","rail",0,1,0,0.3889964,773000,FALSE,FALSE,FALSE,1494772.06312424,0.933728412838597,1,0.933728412838597
"31",5725,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"UB3","D",173,9,8.3,4.9,248,147,"Average","owner-occupied",51.520674,-0.417919,54,42,5,"hayes and harlington","Affinity Water",44600,"Hillingdon","rail",0,1,0,1.239693,348000,FALSE,FALSE,FALSE,666020.413710664,0.913851763536392,1,0.913851763536392
"32",10704,NA,NA,"F","N","F",NA,NA,NA,"EDMONTON",NA,NA,"N9","D",92,5,4.2,1.1,261,68,"Average","owner-occupied",51.631586,-0.079309,51,25,4,"edmonton green","Thames Water",56700,"Enfield","light_rail",0,1,1,0.857532,264000,FALSE,FALSE,FALSE,505059.605516957,0.913104566352111,1,0.913104566352111
"33",4085,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N21","C",36,2,1.6,0.9,251,143,"Very Poor","owner-occupied",51.645786,-0.116577,23,66,5,"oakwood","Thames Water",61700,"Enfield","tube",1,0,0,1.031524,128000,FALSE,FALSE,FALSE,241529.891233295,0.886952275260113,1,0.886952275260113
"34",4554,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW11","D",96,4,2.9,3,181,185,"Average","owner-occupied",51.474491,-0.152944,181,8,2,"queenstown road","Thames Water",54100,"Wandsworth","rail",0,1,0,0.3280992,399000,FALSE,FALSE,FALSE,743939.722296528,0.864510582196812,1,0.864510582196812
"35",15078,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"NW2","E",202,7,11,5.2,311,144,"Very Poor","owner-occupied",51.545646,-0.225437,99,64,2,"willesden green","Thames Water",54700,"Camden","tube",1,0,0,0.7096388,935000,FALSE,TRUE,FALSE,1736682.94316585,0.85741491247685,1,0.85741491247685
"36",8570,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW1V","D",67.1,3,2.6,2,204,152,"Average","owner-occupied",51.490878,-0.137748,114,13,1,"pimlico","Thames Water",61900,"Westminster","tube",1,0,0,0.2460744,431000,FALSE,TRUE,FALSE,799036.484108542,0.853912956168311,1,0.853912956168311
"37",244,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"HA3","D",119,4,5.4,3.4,260,159,"Average","owner-occupied",51.597905,-0.322487,58,54,5,"harrow and wealdstone","Affinity Water",50600,"Brent","tube",2,1,1,0.8277048,322000,FALSE,FALSE,FALSE,596841.393393523,0.853544699979885,1,0.853544699979885
"38",1688,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"HA4","D",102,6,4,1.7,220,90,"Average","owner-occupied",51.553844,-0.405085,101,34,5,"south ruislip","Affinity Water",56600,"Hillingdon","tube",1,1,0,0.4244162,280000,FALSE,FALSE,FALSE,515512.155179567,0.841114839927024,1,0.841114839927024
"39",6990,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE20","E",44,2,4.6,2.5,599,324,"Average","owner-occupied",51.411126,-0.05382,50,47,3,"avenue road","Thames Water",55700,"Bromley","light_rail",0,0,1,0.304486,140000,FALSE,FALSE,FALSE,256714.54691478,0.833675335105568,1,0.833675335105568
"40",6147,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW1P","C",148,5,3.6,2,140,79,"Good","owner-occupied",51.494179,-0.128725,59,14,1,"pimlico","Thames Water",53000,"Westminster","tube",1,0,0,0.3939676,1e+06,FALSE,TRUE,FALSE,1831895.94019315,0.831895940193151,1,0.831895940193151
"41",14673,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N11","D",145,5,6.5,3.9,236,139,"Average","owner-occupied",51.618022,-0.149116,53,60,4,"new southgate","Affinity Water",54300,"Barnet","rail",0,1,0,0.397696,382000,FALSE,FALSE,FALSE,698993.157471572,0.82982501955909,1,0.82982501955909
"42",7802,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE6","D",78,4,4.5,2.8,348,216,"Average","owner-occupied",51.445391,-0.011653,60,21,3,"catford bridge","Thames Water",48700,"Lewisham","rail",0,1,0,0.7369804,231000,FALSE,FALSE,FALSE,422212.281290115,0.827758793463699,1,0.827758793463699
"43",13103,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"IG6","D",214,8,9.1,4.8,242,127,"Good","owner-occupied",51.58205,0.079264,140,26,4,"barkingside","Essex & Suffolk Water",55100,"Redbridge","tube",1,0,0,0.8997872,628000,FALSE,FALSE,FALSE,1146237.11331845,0.82521833330963,1,0.82521833330963
"44",13211,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W11","D",31,2,1.9,1.1,356,194,"Very Poor","owner-occupied",51.516223,-0.213144,49,13,2,"ladbroke grove","Thames Water",47300,"Kensington and Chelsea","tube",2,0,0,0.2336464,315000,FALSE,TRUE,TRUE,569849.253709992,0.809045249872991,1,0.809045249872991
"45",2129,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE6","D",139,6,6.2,3.8,252,152,"Average","owner-occupied",51.434284,-0.023818,60,22,3,"bellingham","Thames Water",45100,"Lewisham","rail",0,1,0,0.2106546,373000,FALSE,FALSE,FALSE,670743.039879021,0.798238712812388,1,0.798238712812388
"46",1734,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N11","D",55,2,2.6,1.5,271,155,"Average","owner-occupied",51.610373,-0.124961,89,42,3,"bounds green","Thames Water",50800,"Barnet","tube",1,0,0,0.2063048,206000,FALSE,FALSE,FALSE,368623.237853993,0.789433193465987,1,0.789433193465987
"47",11078,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW1X","D",156,4,6,2.9,220,107,"Very Poor","owner-occupied",51.499532,-0.161171,27,19,1,"knightsbridge","Thames Water",72600,"Kensington and Chelsea","tube",1,0,0,0.3299634,1740000,FALSE,TRUE,FALSE,3113315.36102932,0.78926170174099,1,0.78926170174099
"48",11681,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW8","C",65,3,1.6,1.3,143,110,"Average","owner-occupied",51.528326,-0.175736,42,43,2,"warwick avenue","Thames Water",53500,"Westminster","tube",2,0,0,0.5194904,389000,FALSE,TRUE,FALSE,693789.201762208,0.783519798874572,1,0.783519798874572
"49",9661,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW1","C",54,2,1.6,1,172,104,"Very Poor","owner-occupied",51.543129,-0.155661,47,39,2,"chalk farm","Thames Water",54500,"Camden","tube",1,0,0,0.2373748,302000,FALSE,TRUE,FALSE,538458.952781738,0.782976664840191,1,0.782976664840191
"50",8729,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW14","C",208,8,4.5,2.7,122,72,"Poor","owner-occupied",51.466863,-0.261604,109,10,3,"mortlake","Thames Water",68200,"Richmond upon Thames","rail",0,1,0,0.363519,1005000,FALSE,TRUE,FALSE,1784535.19703012,0.775656912467778,1,0.775656912467778
"51",15804,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"IG3","E",99,4,6,1.3,317,65,"Average","owner-occupied",51.55179,0.0929,68,8,4,"seven kings","Essex & Suffolk Water",50400,"Redbridge","rail",0,1,0,1.1645036,231000,FALSE,FALSE,FALSE,408563.101617426,0.768671435573271,1,0.768671435573271
"52",11470,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W11","D",94.01,4,4.1,2.3,265,149,"Poor","owner-occupied",51.51682,-0.213957,52,13,2,"ladbroke grove","Thames Water",47300,"Kensington and Chelsea","tube",2,0,0,0.2659592,676000,FALSE,TRUE,TRUE,1183904.24086961,0.751337634422499,1,0.751337634422499
"53",10994,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"RM11","D",67,3,3.8,2.2,339,193,"Average","owner-occupied",51.576723,0.213661,99,30,6,"emerson park","Essex & Suffolk Water",52600,"Havering","light_rail",0,0,1,0.6437704,161000,FALSE,FALSE,FALSE,280562.097690816,0.742621724787678,1,0.742621724787678
"54",5473,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SE24","D",99,4,4.9,2.1,279,121,"Average","owner-occupied",51.456304,-0.104236,52,23,2,"herne hill","Thames Water",54000,"Lambeth","rail",0,1,0,0.276523,493000,FALSE,FALSE,FALSE,858942.233329458,0.74227633535387,1,0.74227633535387
"55",12206,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW2","D",193.65,8,9.5,9,292,276,"Very Poor","owner-occupied",51.457304,-0.121064,65,27,2,"brixton","Thames Water",61900,"Lambeth","tube",1,1,0,0.6064864,897000,FALSE,FALSE,FALSE,1558066.25413305,0.736974642288798,1,0.736974642288798
"56",13133,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW17","G",97,5,15,2.2,867,127,"Average","rental (private)",51.435417,-0.165412,62,29,3,"tooting bec","Thames Water",60700,"Wandsworth","tube",1,0,0,0.3436342,390000,FALSE,FALSE,FALSE,673180.920827085,0.726104925197655,1,0.726104925197655
"57",13283,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E12","D",100,5,4.4,2,247,112,"Average","owner-occupied",51.552731,0.059031,272,10,3,"manor park","Thames Water",40800,"Redbridge","rail",0,1,0,0.8879806,259000,FALSE,FALSE,FALSE,444760.187080683,0.717220799539317,1,0.717220799539317
"58",7253,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW8","D",51,3,2.5,1.1,255,115,"Poor","owner-occupied",51.539019,-0.189699,32,36,2,"kilburn high road","Thames Water",45700,"Westminster","light_rail",0,0,1,0.0801606,341000,FALSE,TRUE,FALSE,583961.181768646,0.712496134218903,1,0.712496134218903
"59",7795,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW6","D",86,5,3.9,1.7,253,115,"Good","owner-occupied",51.544919,-0.202632,104,48,2,"brondesbury","Thames Water",51900,"Brent","light_rail",0,0,1,0.2150044,377000,FALSE,FALSE,FALSE,642008.284035775,0.702939745452983,1,0.702939745452983
"60",13865,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR0","C",46,2,1.4,1.3,177,161,"Average","owner-occupied",51.370855,-0.100871,25,53,3,"george street","Thames Water",51400,"Croydon","light_rail",0,0,1,0.3865108,117000,FALSE,FALSE,FALSE,198540.525329693,0.696927566920453,1,0.696927566920453
"61",13339,NA,NA,"F","N","L",NA,NA,NA,"WALTHAMSTOW",NA,NA,"E17","D",66,3,2.6,1.5,221,128,"Good","owner-occupied",51.573422,-0.029392,115,10,3,"lea bridge","Thames Water",54700,"Waltham Forest","rail",0,1,0,0.7692932,228000,FALSE,FALSE,FALSE,386655.020204321,0.69585535177334,1,0.69585535177334
"62",1432,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW9","C",81,3,2.7,1.5,177,97,"Good","rental (private)",51.473122,-0.120544,99,10,2,"stockwell","Thames Water",54900,"Lambeth","tube",2,0,0,0.1932554,329000,FALSE,FALSE,FALSE,556502.013141411,0.691495480672982,1,0.691495480672982
"63",3193,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W1G","C",43,2,1.9,1.2,252,165,"Average","rental (private)",51.520895,-0.151356,18,31,1,"baker street","Thames Water",73500,"Westminster","tube",6,0,0,0.5350254,325000,FALSE,TRUE,FALSE,544514.777308097,0.675430084024912,1,0.675430084024912
"64",3406,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"CR2","E",220,9,16,5.5,336,112,"Very Poor","owner-occupied",51.359297,-0.08417,19,82,3,"lloyd park","Thames Water",61500,"Croydon","light_rail",0,0,1,0.5505604,764000,FALSE,FALSE,FALSE,1279128.60763763,0.674252104237738,1,0.674252104237738
"65",10603,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N13","C",115,5,2.7,1.5,133,71,"Average","owner-occupied",51.614762,-0.118786,86,30,3,"bowes park","Thames Water",52200,"Enfield","rail",0,1,0,0.6549556,416000,FALSE,FALSE,FALSE,696383.238197927,0.673998168745018,1,0.673998168745018
"66",6453,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"N9","D",79,4,4.2,1.9,274,122,"Average","owner-occupied",51.624419,-0.051342,116,14,4,"edmonton green","Thames Water",38100,"Enfield","light_rail",0,1,1,0.6344494,217000,FALSE,FALSE,FALSE,362914.171734109,0.672415537945204,1,0.672415537945204
"67",2517,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW3","E",168,5,8.4,3.4,284,114,"Average","owner-occupied",51.462179,-0.364809,72,22,5,"hounslow","Thames Water",57400,"Hounslow","rail",0,1,0,0.226811,517000,FALSE,FALSE,FALSE,864026.724776674,0.671231575970356,1,0.671231575970356
"68",200,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W10","E",192,6,9.4,2.9,278,84,"Very Poor","rental (private)",51.520688,-0.21284,99,25,2,"ladbroke grove","Thames Water",47300,"Kensington and Chelsea","tube",2,0,0,0.2690662,1230000,FALSE,TRUE,FALSE,2055378.67649977,0.671039574390054,1,0.671039574390054
"69",11281,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW6","F",105,4,7.7,2.7,417,146,"Poor","owner-occupied",51.470963,-0.191401,35,7,2,"imperial wharf","Thames Water",58900,"Hammersmith and Fulham","light_rail",0,1,1,0.7761286,633000,FALSE,TRUE,FALSE,1050403.45442745,0.659405141275596,1,0.659405141275596
"70",11529,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE2","D",90.85,5,3.9,2.5,223,141,"Good","owner-occupied",51.494333,0.115564,52,2,4,"abbey wood","Thames Water",41900,"Greenwich","rail",0,1,0,0.7469228,204000,FALSE,FALSE,FALSE,337925.347337669,0.656496800674847,1,0.656496800674847
"71",4491,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"TW1","C",47,3,1.5,1.2,181,152,"Average","rental (private)",51.446133,-0.335105,14,12,5,"twickenham","Thames Water",70600,"Richmond upon Thames","rail",0,1,0,0.6095934,218000,FALSE,TRUE,FALSE,359739.239072501,0.650179995745418,1,0.650179995745418
"72",9712,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE8","D",117.45,5,5.3,4.1,271,208,"Poor","owner-occupied",51.468812,-0.017748,94,7,2,"elverson road","Thames Water",50700,"Lewisham","light_rail",0,0,1,0.0447408,498000,FALSE,FALSE,FALSE,817045.423571526,0.640653460987,1,0.640653460987
"73",15656,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E8","C",105,5,2.6,1,132,48,"Good","owner-occupied",51.545155,-0.070822,44,19,2,"dalston junction","Thames Water",56000,"Hackney","light_rail",0,0,1,0.3399058,580000,FALSE,FALSE,FALSE,950489.098849306,0.638774308360872,1,0.638774308360872
"74",9334,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N1","D",70,4,2.3,1.3,184,108,"Good","rental (private)",51.531158,-0.080972,50,23,1,"hoxton","Thames Water",54300,"Islington","light_rail",0,0,1,0.329342,378000,FALSE,FALSE,FALSE,616893.714216816,0.631993952954539,1,0.631993952954539
"75",7092,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW9","C",114,7,2.8,1.5,140,74,"Good","owner-occupied",51.467854,-0.281247,76,7,3,"north sheen","Thames Water",61900,"Richmond upon Thames","rail",0,1,0,0.2435888,565000,FALSE,TRUE,FALSE,917887.692568741,0.62457998684733,1,0.62457998684733
"76",68,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW13","D",109,6,4.9,2.3,254,117,"Average","owner-occupied",51.48395,-0.239336,68,6,2,"barnes bridge","Thames Water",65600,"Richmond upon Thames","tube",1,0,0,1.2564708,722000,FALSE,TRUE,FALSE,1168983.36059637,0.619090527141782,1,0.619090527141782
"77",7063,NA,NA,"F","N","L",NA,NA,NA,"CHEAM",NA,NA,"SM3","C",39,2,1.8,1.7,269,263,"Good","owner-occupied",51.370269,-0.229348,75,42,5,"stoneleigh","SES Water",55400,"Sutton","rail",0,1,0,1.2440428,130000,FALSE,FALSE,FALSE,209639.703536752,0.612613104128863,1,0.612613104128863
"78",293,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW5","D",97,3,5.1,2.1,301,122,"Average","owner-occupied",51.554527,-0.14098,238,45,2,"kentish town","Thames Water",57000,"Camden","tube",1,1,0,0.2448316,547000,FALSE,TRUE,FALSE,881934.613812303,0.612311908249183,1,0.612311908249183
"79",8846,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"NW4","D",247,8,8.8,5.6,203,128,"Average","owner-occupied",51.585573,-0.213532,31,52,3,"brent cross","Thames Water",54400,"Barnet","tube",1,0,0,0.9091082,1093000,FALSE,FALSE,FALSE,1760947.84179924,0.611114219395467,1,0.611114219395467
